country,name,name_local,city,region,frequency_fm,type,genre,language,political_leaning,internet_only,stream_url,codec,bitrate,stream_status,votes,notes,source
Internet,1.FM Chillout Lounge,,—,Internet radio,,Music,1.FM · Chillout lounge,Instrumental,None,Yes,http://strm112.1.fm/chilloutlounge_mobile_mp3,,0,Working,0,,curated
Internet,Ambient Modern,,—,Internet radio,,Music,Stereoscenic · Modern ambient,English,None,Yes,http://radio.stereoscenic.com/mod-h,,0,Working,0,Stereoscenic network,curated
Internet,Ambient Sleeping Pill,,—,Internet radio,,Music,AmbientSleepingPill.com · Ambient / sleep,English,None,Yes,http://radio.stereoscenic.com/asp-h,,0,Working,0,"Stereoscenic network; ad-free, listener-supported",curated
Internet,Antenne Bayern Chillout,,—,Internet radio,,Music,Antenne Bayern · Chillout,Instrumental,None,Yes,http://mp3channels.webradio.antenne.de/chillout,,0,Working,0,Chill channel of Bavaria's biggest private station,curated
Internet,Café del Mar,,—,Internet radio,,Music,Café del Mar · Ibiza chillout,Instrumental,None,Yes,https://streams.radio.co/se1a320b47/listen,,0,Working,0,The famous Ibiza sunset bar brand,curated
Internet,Chilltrax,,—,Internet radio,,Music,Chilltrax · Electronic chillout,English,None,Yes,https://streamssl.chilltrax.com/,,0,Working,0,Popular US chill-out brand,curated
Internet,Costa del Mar Chillout,,—,Internet radio,,Music,Costa del Mar · Ibiza chillout,Instrumental,None,Yes,http://stream.cdm-chillout.com:8020/stream-AAC-Chill,,0,Working,0,,curated
Internet,Cryosleep,,—,Internet radio,,Music,Echoes of Bluemars · Ambient / sleep,Instrumental,None,Yes,http://streams.echoesofbluemars.org:8000/cryosleep,,0,Working,0,,curated
Internet,Deep Space One,,—,Internet radio,,Music,SomaFM · Deep ambient electronic,Instrumental,None,Yes,https://ice5.somafm.com/deepspaceone-128-aac,,0,Working,0,,curated
Internet,Drone Zone,,—,Internet radio,,Music,SomaFM · Atmospheric,Instrumental,None,Yes,https://ice5.somafm.com/dronezone-128-aac,,0,Working,0,DialShift default station,curated
Internet,Fluid,,—,Internet radio,,Music,SomaFM · Chill instrumental beats,Instrumental,None,Yes,https://ice5.somafm.com/fluid-128-aac,,0,Working,0,,curated
Internet,Frisky Chill,,—,Internet radio,,Music,Frisky · Progressive chill,Instrumental,None,Yes,http://chill.friskyradio.com/friskychill_mp3_high,,0,Working,0,Frisky Radio network,curated
Internet,Groove Salad,,—,Internet radio,,Music,SomaFM · Ambient / downtempo,Instrumental,None,Yes,https://ice5.somafm.com/groovesalad-128-aac,,0,Working,0,DialShift default station,curated
Internet,Groove Salad Classic,,—,Internet radio,,Music,SomaFM · Classic chillout,Instrumental,None,Yes,https://ice5.somafm.com/gsclassic-128-aac,,0,Working,0,Classic-era Groove Salad playlist,curated
Internet,Lounge.FM,,—,Internet radio,,Music,Lounge.FM · Lounge / relax,Instrumental,None,Yes,https://s35.derstream.net/100austria.mp3,,0,Working,0,Vienna lounge network,curated
Internet,Lush,,—,Internet radio,,Music,SomaFM · Chill vocal electronica,English,None,Yes,https://ice5.somafm.com/lush-128-aac,,0,Working,0,,curated
Internet,Mission Control,,—,Internet radio,,Music,SomaFM · Ambient / space,Instrumental,None,Yes,https://ice5.somafm.com/missioncontrol-128-aac,,0,Working,0,"Celebrating NASA & space exploration, with mission audio",curated
Internet,n5MD Radio,,—,Internet radio,,Music,SomaFM · Ambient / electronica,Instrumental,None,Yes,https://ice5.somafm.com/n5md-128-aac,,0,Working,0,n5MD label channel,curated
Internet,RadiOzora Chill,,—,Internet radio,,Music,RadiOzora · Psy chill,Instrumental,None,Yes,http://chill.out.airtime.pro:8000/chill_a,,0,Working,0,Ozora Festival network,curated
Internet,Secret Agent,,—,Internet radio,,Music,SomaFM · Cinematic grooves,Instrumental,None,Yes,https://ice5.somafm.com/secretagent-128-aac,,0,Working,0,DialShift default station,curated
Internet,SF 10-33,,—,Internet radio,,Music,SomaFM · Ambient / experimental,Instrumental,None,Yes,https://ice5.somafm.com/sf1033-128-aac,,0,Working,0,,curated
Internet,Smooth Chill,,—,Internet radio,,Music,Global · Chill / ambient,English,None,Yes,https://media-ssl.musicradio.com/ChillMP3,,0,Working,0,"Global (UK), Smooth Radio's chill brand",curated
Internet,Space Station Soma,,—,Internet radio,,Music,SomaFM · Ambient / electronic space music,Instrumental,None,Yes,https://ice5.somafm.com/spacestation-128-aac,,0,Working,0,Mid-tempo ambient; the SomaFM classic,curated
Internet,Synphaera Radio,,—,Internet radio,,Music,SomaFM · Space ambient,Instrumental,None,Yes,https://ice5.somafm.com/synphaera-128-aac,,0,Working,0,With Exosphere label artists,curated
